[ INFO] [1634230986.714005722, 2.418000000]: Got new plan
[INFO] [1634230986.762290, 2.435000]: Number of targets 10 / distance to curent goal 1.3 / collission number 0
[INFO] [1634230987.146962, 2.642000]: Number of targets 10 / distance to curent goal 1.29 / collission number 0
[INFO] [1634230987.497951, 2.839000]: Number of targets 10 / distance to curent goal 1.26 / collission number 0
[INFO] [1634230987.867779, 3.034000]: Number of targets 10 / distance to curent goal 1.24 / collission number 0
[INFO] [1634230988.240443, 3.249000]: Number of targets 10 / distance to curent goal 1.21 / collission number 0
[INFO] [1634230988.568995, 3.437000]: Number of targets 10 / distance to curent goal 1.17 / collission number 0
[INFO] [1634230988.954250, 3.633000]: Number of targets 10 / distance to curent goal 1.13 / collission number 0
[INFO] [1634230989.270586, 3.832000]: Number of targets 10 / distance to curent goal 1.1 / collission number 0
[INFO] [1634230989.706100, 4.038000]: Number of targets 10 / distance to curent goal 1.07 / collission number 0
[INFO] [1634230990.023541, 4.238000]: Number of targets 10 / distance to curent goal 1.04 / collission number 0
[INFO] [1634230990.411223, 4.438000]: Number of targets 10 / distance to curent goal 1.02 / collission number 0
[INFO] [1634230990.727384, 4.636000]: Number of targets 10 / distance to curent goal 1.01 / collission number 0
[INFO] [1634230991.080567, 4.834000]: Number of targets 10 / distance to curent goal 0.99 / collission number 0
[INFO] [1634230991.379997, 5.032000]: Number of targets 10 / distance to curent goal 0.98 / collission number 0
[INFO] [1634230991.636408, 5.229000]: Number of targets 10 / distance to curent goal 0.97 / collission number 0
[INFO] [1634230991.906429, 5.431000]: Number of targets 10 / distance to curent goal 0.96 / collission number 0
[INFO] [1634230992.198126, 5.632000]: Number of targets 10 / distance to curent goal 0.95 / collission number 0
[INFO] [1634230992.468580, 5.842000]: Number of targets 10 / distance to curent goal 0.94 / collission number 0
[INFO] [1634230992.738510, 6.044000]: Number of targets 10 / distance to curent goal 0.93 / collission number 0
[INFO] [1634230992.981253, 6.233000]: Number of targets 10 / distance to curent goal 0.91 / collission number 0
[INFO] [1634230993.274409, 6.441000]: Number of targets 10 / distance to curent goal 0.9 / collission number 0
[INFO] [1634230993.547073, 6.632000]: Number of targets 10 / distance to curent goal 0.89 / collission number 0
[INFO] [1634230993.812384, 6.831000]: Number of targets 10 / distance to curent goal 0.87 / collission number 0
[INFO] [1634230994.085880, 7.042000]: Number of targets 10 / distance to curent goal 0.86 / collission number 0
[INFO] [1634230994.353964, 7.246000]: Number of targets 10 / distance to curent goal 0.84 / collission number 0
[INFO] [1634230994.613619, 7.434000]: Number of targets 10 / distance to curent goal 0.82 / collission number 0
[INFO] [1634230994.883100, 7.635000]: Number of targets 10 / distance to curent goal 0.8 / collission number 0
[INFO] [1634230995.141994, 7.836000]: Number of targets 10 / distance to curent goal 0.77 / collission number 0
[INFO] [1634230995.424336, 8.041000]: Number of targets 10 / distance to curent goal 0.75 / collission number 0
[INFO] [1634230995.685731, 8.245000]: Number of targets 10 / distance to curent goal 0.72 / collission number 0
[INFO] [1634230995.938595, 8.438000]: Number of targets 10 / distance to curent goal 0.69 / collission number 0
[INFO] [1634230996.198449, 8.640000]: Number of targets 10 / distance to curent goal 0.65 / collission number 0
[INFO] [1634230996.457979, 8.837000]: Number of targets 10 / distance to curent goal 0.62 / collission number 0
[INFO] [1634230996.739557, 9.037000]: Number of targets 10 / distance to curent goal 0.58 / collission number 0
[INFO] [1634230996.994435, 9.234000]: Number of targets 10 / distance to curent goal 0.55 / collission number 0
[INFO] [1634230997.265436, 9.440000]: Number of targets 10 / distance to curent goal 0.51 / collission number 0
[INFO] [1634230997.524189, 9.635000]: Number of targets 10 / distance to curent goal 0.47 / collission number 0
[INFO] [1634230997.793466, 9.840000]: Number of targets 10 / distance to curent goal 0.43 / collission number 0
[INFO] [1634230998.053233, 10.039000]: Number of targets 10 / distance to curent goal 0.4 / collission number 0
[INFO] [1634230998.321122, 10.239000]: Number of targets 10 / distance to curent goal 0.36 / collission number 0
[INFO] [1634230998.574246, 10.432000]: Number of targets 10 / distance to curent goal 0.32 / collission number 0
[INFO] [1634230998.832608, 10.636000]: Number of targets 10 / distance to curent goal 0.29 / collission number 0
[INFO] [1634230999.101999, 10.841000]: Number of targets 10 / distance to curent goal 0.26 / collission number 0
[INFO] [1634230999.364293, 11.040000]: Number of targets 10 / distance to curent goal 0.23 / collission number 0
[INFO] [1634230999.620283, 11.246000]: Number of targets 10 / distance to curent goal 0.21 / collission number 0
[INFO] [1634230999.859570, 11.431000]: Goal!!
4 0
[INFO] [1634231000.825397, 12.096000]: Goal position : -1.0, 1.0
[INFO] [1634231000.832040, 12.098000]: Target position: x-> -1, y-> 1!!
[INFO] [1634231000.834032, 12.100000]: Number of targets 9 / distance to curent goal 1.99 / collission number 0
[INFO] [1634231001.025203, 12.235000]: Number of targets 9 / distance to curent goal 1.99 / collission number 0
[ INFO] [1634231001.266898380, 12.418000000]: Got new plan
[INFO] [1634231001.297681, 12.438000]: Number of targets 9 / distance to curent goal 1.97 / collission number 0
[INFO] [1634231001.554632, 12.637000]: Number of targets 9 / distance to curent goal 1.96 / collission number 0
[INFO] [1634231001.810063, 12.835000]: Number of targets 9 / distance to curent goal 1.94 / collission number 0
[INFO] [1634231002.082781, 13.042000]: Number of targets 9 / distance to curent goal 1.92 / collission number 0
[INFO] [1634231002.338762, 13.237000]: Number of targets 9 / distance to curent goal 1.9 / collission number 0
[INFO] [1634231002.596576, 13.431000]: Number of targets 9 / distance to curent goal 1.88 / collission number 0
[INFO] [1634231002.864648, 13.640000]: Number of targets 9 / distance to curent goal 1.87 / collission number 0
[INFO] [1634231003.107980, 13.832000]: Number of targets 9 / distance to curent goal 1.86 / collission number 0
[INFO] [1634231003.375832, 14.041000]: Number of targets 9 / distance to curent goal 1.84 / collission number 0
[INFO] [1634231003.632521, 14.239000]: Number of targets 9 / distance to curent goal 1.83 / collission number 0
[INFO] [1634231003.879020, 14.434000]: Number of targets 9 / distance to curent goal 1.82 / collission number 0
[INFO] [1634231004.145195, 14.644000]: Number of targets 9 / distance to curent goal 1.81 / collission number 0
[INFO] [1634231004.403944, 14.836000]: Number of targets 9 / distance to curent goal 1.79 / collission number 0
[INFO] [1634231004.658240, 15.043000]: Number of targets 9 / distance to curent goal 1.78 / collission number 0
[INFO] [1634231004.910401, 15.238000]: Number of targets 9 / distance to curent goal 1.76 / collission number 0
[INFO] [1634231005.154677, 15.432000]: Number of targets 9 / distance to curent goal 1.75 / collission number 0
[INFO] [1634231005.411918, 15.636000]: Number of targets 9 / distance to curent goal 1.73 / collission number 0
[INFO] [1634231005.670906, 15.840000]: Number of targets 9 / distance to curent goal 1.71 / collission number 0
[INFO] [1634231005.924331, 16.033000]: Number of targets 9 / distance to curent goal 1.69 / collission number 0
[INFO] [1634231006.179911, 16.233000]: Number of targets 9 / distance to curent goal 1.67 / collission number 0
[INFO] [1634231006.447826, 16.439000]: Number of targets 9 / distance to curent goal 1.64 / collission number 0
[INFO] [1634231006.693593, 16.633000]: Number of targets 9 / distance to curent goal 1.61 / collission number 0
[INFO] [1634231006.962996, 16.839000]: Number of targets 9 / distance to curent goal 1.58 / collission number 0
[INFO] [1634231007.233643, 17.041000]: Number of targets 9 / distance to curent goal 1.55 / collission number 0
[INFO] [1634231007.498042, 17.243000]: Number of targets 9 / distance to curent goal 1.52 / collission number 0
[INFO] [1634231007.749097, 17.438000]: Number of targets 9 / distance to curent goal 1.48 / collission number 0
[INFO] [1634231008.007294, 17.647000]: Number of targets 9 / distance to curent goal 1.44 / collission number 0
[INFO] [1634231008.246552, 17.836000]: Number of targets 9 / distance to curent goal 1.41 / collission number 0
[INFO] [1634231008.500033, 18.035000]: Number of targets 9 / distance to curent goal 1.36 / collission number 0
[INFO] [1634231008.758285, 18.234000]: Number of targets 9 / distance to curent goal 1.32 / collission number 0
[INFO] [1634231009.003821, 18.428000]: Number of targets 9 / distance to curent goal 1.29 / collission number 0
